customer_id,purchase_timestamp,purchase_value,loyalty_score
76,2022-05-14 16:09:27,335.47,8.94
61,2022-07-22 01:08:16,476.59,1.38
3,2022-05-18 11:10:45,166.64,9.9
87,2022-11-29 09:12:10,142.76,2.82
60,2022-12-10 17:29:36,359.18,8.35
53,2022-12-09 21:43:08,419.35,8.06
96,2022-07-29 13:13:49,19.38,8.01
50,2022-07-30 13:09:45,222.08,1.4
58,2022-01-05 02:33:56,237.01,1.41
45,2022-05-16 03:46:50,21.56,9.09
25,2022-06-23 14:11:53,74.02,8.11
98,2022-07-29 19:51:54,442.63,6.93
14,2022-05-23 02:47:44,242.4,6.32
19,2022-10-05 21:42:17,207.91,1.7
73,2022-11-15 00:10:15,49.76,9.56
22,2022-06-05 13:53:42,200.11,2.44
52,2022-04-05 00:42:38,392.86,9.64
85,2022-02-18 01:31:07,439.9,4.5
1,2022-04-15 17:41:59,350.99,8.14
99,2022-10-26 18:45:10,396.81,4.75
20,2022-05-07 10:48:48,341.79,6.45
85,2022-07-01 13:29:56,403.73,9.12
4,2022-07-09 08:51:37,274.99,7.39
24,2022-06-12 12:21:52,418.49,4.96
10,2022-08-11 08:03:58,452.42,8.67
100,2022-09-29 04:19:02,492.8,2.49
9,2022-03-25 13:50:02,379.44,8.24
99,2022-08-28 22:56:07,470.98,7.98
76,2022-04-20 14:19:18,64.11,3.6
1,2022-09-21 15:02:44,454.01,3.49
92,2022-07-02 05:47:26,499.46,3.94
60,2022-01-23 20:53:20,83.3,4.43
35,2022-02-24 19:19:31,267.88,5.17
65,2022-02-17 06:03:32,324.45,7.04
71,2022-06-18 06:48:52,439.96,7.65
45,2022-08-14 22:24:55,234.42,4.58
79,2022-06-10 13:51:46,249.79,4.87
90,2022-07-24 00:27:07,25.26,3.34
26,2022-03-12 16:50:18,261.32,1.84
93,2022-04-25 16:31:35,29.08,8.53
51,2022-10-13 01:16:42,203.65,9.58
87,2022-10-05 03:41:36,275.41,7.82
96,2022-03-01 10:14:11,232.89,7.17
43,2022-04-22 05:16:11,301.61,1.09
61,2022-10-01 03:47:51,319.76,2.17
10,2022-06-14 07:16:29,32.6,6.1
43,2022-02-14 14:52:09,17.2,4.41
31,2022-12-25 10:34:07,64.39,8.27
81,2022-06-17 22:46:53,141.12,4.02
57,2022-08-31 19:44:28,135.1,3.66
16,2022-01-02 07:43:18,211.4,9.17
69,2022-11-20 05:14:26,341.25,7.36
29,2022-11-24 06:02:00,177.47,6.7
78,2022-04-29 04:41:22,420.58,8.73
83,2022-11-11 16:38:52,390.48,6.5
50,2022-05-03 20:45:04,314.25,9.36
23,2022-07-16 17:59:08,492.17,3.6
58,2022-04-27 22:44:04,201.99,5.92
76,2022-02-25 04:35:45,183.67,5.55
36,2022-03-21 16:57:28,32.96,3.49
73,2022-06-24 02:09:37,374.01,7.64
19,2022-10-16 02:02:27,293.84,7.83
52,2022-09-05 07:12:41,243.68,7.46
41,2022-10-26 16:36:53,478.83,5.5
64,2022-01-23 18:56:36,44.74,3.82
13,2022-12-28 00:07:22,209.42,9.02
40,2022-08-24 12:36:32,146.44,2.17
31,2022-11-19 01:25:12,336.76,2.9
71,2022-02-16 09:31:31,115.19,6.98
99,2022-10-04 06:52:54,204.02,7.02
26,2022-01-06 16:55:19,238.72,1.31
31,2022-05-26 22:33:41,128.69,5.3
47,2022-02-19 14:51:37,152.35,5.23
71,2022-09-06 16:42:56,338.63,7.31
14,2022-07-09 05:48:45,34.25,8.5
91,2022-09-13 06:39:12,414.45,8.6
59,2022-11-10 21:05:36,364.33,2.81
25,2022-06-15 06:20:07,29.34,5.28
62,2022-03-23 01:58:40,105.67,4.11
30,2022-06-14 02:01:39,205.56,7.51
53,2022-06-06 09:42:20,118.82,3.9
82,2022-12-21 18:12:53,291.95,1.2
83,2022-01-18 06:12:04,384.75,7.11
62,2022-03-30 01:39:14,360.02,5.16
64,2022-11-17 02:18:11,121.1,8.91
67,2022-03-24 19:40:48,179.8,4.58
12,2022-03-04 16:47:29,220.3,3.41
87,2022-11-15 06:31:57,381.67,1.13
27,2022-06-29 20:13:26,209.72,8.45
65,2022-03-01 00:49:47,173.4,7.1
42,2022-05-30 07:53:53,293.8,1.77
86,2022-11-28 10:31:26,195.82,8.48
86,2022-09-14 16:08:27,319.67,1.86
91,2022-06-26 05:24:55,108.52,5.63
57,2022-02-10 04:20:13,392.38,5.29
60,2022-11-14 19:02:50,35.43,2.72
45,2022-05-13 07:02:28,121.84,3.22
62,2022-04-13 16:00:24,94.32,9.75
95,2022-09-04 16:41:19,470.57,5.54
16,2022-09-08 04:07:24,321.84,1.46
99,2022-02-28 01:58:19,37.06,9.48
28,2022-10-22 02:58:04,260.11,6.64
90,2022-12-23 06:21:09,334.36,8.33
79,2022-11-10 21:08:28,235.0,4.7
42,2022-08-24 02:12:56,413.42,8.04
84,2022-01-26 02:14:28,317.93,7.2
13,2022-03-09 21:43:01,143.07,5.26
64,2022-04-25 15:54:18,317.72,3.23
66,2022-11-16 09:40:56,15.63,5.05
76,2022-10-05 19:23:24,415.78,2.94
9,2022-11-25 02:18:29,403.15,5.31
41,2022-08-25 08:59:06,386.11,4.75
85,2022-07-05 07:35:14,42.62,6.83
89,2022-03-04 05:56:46,322.01,7.73
17,2022-09-16 08:09:01,445.14,6.39
12,2022-06-22 00:52:08,455.72,7.02
99,2022-08-04 23:08:34,108.27,2.95
42,2022-09-22 06:35:17,371.18,9.77
15,2022-12-11 20:50:58,258.63,8.87
7,2022-01-05 14:37:14,114.2,1.3
23,2022-05-06 04:41:59,163.84,9.0
100,2022-03-14 07:43:55,86.23,2.87
62,2022-01-02 14:22:57,367.2,8.76
72,2022-03-11 10:47:33,40.64,5.13
3,2022-04-12 03:29:05,484.2,8.71
50,2022-08-29 10:12:49,428.35,3.18
35,2022-02-23 23:14:21,286.01,2.08
63,2022-11-12 18:05:56,271.8,5.87
17,2022-04-24 00:11:57,167.33,7.75
90,2022-03-12 20:31:34,413.92,6.67
40,2022-11-13 23:54:09,78.17,3.29
28,2022-10-15 22:15:49,243.65,7.19
19,2022-01-24 07:10:47,16.03,4.33
25,2022-04-22 01:10:35,206.87,9.94
64,2022-07-13 04:26:15,432.69,2.61
55,2022-12-26 13:16:17,496.3,4.48
5,2022-06-13 19:33:40,372.44,2.72
54,2022-12-16 02:43:12,10.22,9.11
95,2022-10-16 10:17:26,341.99,4.36
19,2022-03-15 20:37:57,299.24,3.04
50,2022-03-12 08:15:03,476.2,9.95
66,2022-07-22 16:01:05,278.41,9.81
16,2022-08-04 16:46:19,346.43,2.03
97,2022-12-31 07:42:21,354.29,1.6
77,2022-08-02 08:05:50,416.15,4.14
29,2022-07-14 08:23:34,113.25,9.62
5,2022-03-17 22:47:21,371.65,8.26
56,2022-03-10 04:10:55,294.24,5.65
56,2022-10-10 18:18:44,182.99,9.05
70,2022-11-02 08:35:18,479.21,4.59
29,2022-02-07 12:39:07,386.77,6.93
94,2022-07-03 04:58:04,497.86,9.83
21,2022-11-22 23:23:58,270.64,2.22
12,2022-08-05 00:07:44,350.28,1.74
75,2022-11-08 02:13:37,331.04,3.34
85,2022-06-23 17:01:12,403.87,4.9
33,2022-06-08 20:12:20,115.17,4.75
48,2022-06-24 17:25:48,466.0,5.48
7,2022-04-28 20:45:51,469.77,8.84
3,2022-04-20 22:52:20,365.34,3.91
92,2022-09-11 12:48:34,20.99,4.24
84,2022-05-25 21:27:08,272.47,8.53
4,2022-12-31 11:08:20,134.62,8.37
55,2022-02-04 18:00:31,261.23,5.33
34,2022-08-03 16:54:22,434.8,5.09
64,2022-03-31 19:30:03,316.26,3.85
11,2022-05-06 13:21:40,494.62,6.64
86,2022-11-17 07:58:54,191.09,5.18
43,2022-04-30 15:46:16,265.44,9.78
